ip,port,server
45.15.168.45,2,''
45.15.168.45,3,''
45.15.168.45,5,''
45.15.168.45,4,''
45.15.168.45,6,''
45.15.168.45,7,''
45.15.168.45,8,''
45.15.168.45,9,''
45.15.168.45,11,''
45.15.168.45,10,''
45.15.168.45,12,''
45.15.168.45,13,''
45.15.168.45,14,''
45.15.168.45,16,''
45.15.168.45,15,''
45.15.168.45,17,''
45.15.168.45,19,''
45.15.168.45,18,''
45.15.168.45,20,''
45.15.168.45,21,''
45.15.168.45,22,''
45.15.168.45,23,''
45.15.168.45,24,''
45.15.168.45,26,''
45.15.168.45,28,''
45.15.168.45,29,''
45.15.168.45,25,''
45.15.168.45,30,''
45.15.168.45,31,''
45.15.168.45,32,''
45.15.168.45,33,''
45.15.168.45,35,''
45.15.168.45,36,''
45.15.168.45,38,''
45.15.168.45,37,''
45.15.168.45,40,''
45.15.168.45,39,''
45.15.168.45,42,''
45.15.168.45,44,''
45.15.168.45,43,''
45.15.168.45,46,''
45.15.168.45,47,''
45.15.168.45,48,''
45.15.168.45,49,''
45.15.168.45,51,''
45.15.168.45,52,''
45.15.168.45,53,''
45.15.168.45,54,''
45.15.168.45,56,''
45.15.168.45,55,''
45.15.168.45,57,''
45.15.168.45,58,''
45.15.168.45,59,''
45.15.168.45,60,''
45.15.168.45,62,''
45.15.168.45,61,''
45.15.168.45,63,''
45.15.168.45,65,''
45.15.168.45,66,''
45.15.168.45,67,''
45.15.168.45,68,''
45.15.168.45,69,''
45.15.168.45,71,''
45.15.168.45,72,''
45.15.168.45,70,''
45.15.168.45,73,''
45.15.168.45,74,''
45.15.168.45,75,''
45.15.168.45,77,''
45.15.168.45,78,''
45.15.168.45,79,''
45.15.168.45,80,''
45.15.168.45,81,''
45.15.168.45,82,''
45.15.168.45,83,''
45.15.168.45,84,''
45.15.168.45,85,''
45.15.168.45,86,''
45.15.168.45,88,''
45.15.168.45,87,''
45.15.168.45,89,''
45.15.168.45,90,''
45.15.168.45,91,''
45.15.168.45,94,''
45.15.168.45,95,''
45.15.168.45,92,''
45.15.168.45,98,''
45.15.168.45,97,''
45.15.168.45,100,''
45.15.168.45,93,''
45.15.168.45,101,''
45.15.168.45,103,''
45.15.168.45,104,''
45.15.168.45,96,''
45.15.168.45,102,''
45.15.168.45,106,''
45.15.168.45,110,''
45.15.168.45,107,''
45.15.168.45,105,''
45.15.168.45,114,''
45.15.168.45,113,''
45.15.168.45,112,''
45.15.168.45,108,''
45.15.168.45,115,''
45.15.168.45,111,''
45.15.168.45,116,''
45.15.168.45,119,''
45.15.168.45,118,''
45.15.168.45,122,''
45.15.168.45,121,''
45.15.168.45,117,''
45.15.168.45,124,''
45.15.168.45,126,''
45.15.168.45,127,''
45.15.168.45,123,''
45.15.168.45,120,''
45.15.168.45,128,''
45.15.168.45,129,''
45.15.168.45,130,''
45.15.168.45,125,''
45.15.168.45,132,''
45.15.168.45,133,''
45.15.168.45,135,''
45.15.168.45,134,''
45.15.168.45,136,''
45.15.168.45,137,''
45.15.168.45,139,''
45.15.168.45,140,''
45.15.168.45,138,''
45.15.168.45,143,''
45.15.168.45,141,''
45.15.168.45,142,''
45.15.168.45,146,''
45.15.168.45,148,''
45.15.168.45,150,''
45.15.168.45,145,''
45.15.168.45,144,''
45.15.168.45,151,''
45.15.168.45,154,''
45.15.168.45,149,''
45.15.168.45,157,''
45.15.168.45,156,''
45.15.168.45,160,''
45.15.168.45,152,''
45.15.168.45,165,''
45.15.168.45,153,''
45.15.168.45,166,''
45.15.168.45,161,''
45.15.168.45,164,''
45.15.168.45,170,''
45.15.168.45,168,''
45.15.168.45,159,''
45.15.168.45,163,''
45.15.168.45,172,''
45.15.168.45,178,''
45.15.168.45,179,''
45.15.168.45,169,''
45.15.168.45,185,''
45.15.168.45,175,''
45.15.168.45,180,''
45.15.168.45,183,''
45.15.168.45,171,''
45.15.168.45,177,''
45.15.168.45,189,''
45.15.168.45,176,''
45.15.168.45,190,''
45.15.168.45,174,''
45.15.168.45,167,''
45.15.168.45,186,''
45.15.168.45,173,''
45.15.168.45,191,''
45.15.168.45,192,''
45.15.168.45,182,''
45.15.168.45,203,''
45.15.168.45,200,''
45.15.168.45,181,''
45.15.168.45,187,''
45.15.168.45,206,''
45.15.168.45,188,''
45.15.168.45,217,''
45.15.168.45,197,''
45.15.168.45,198,''
45.15.168.45,209,''
45.15.168.45,201,''
45.15.168.45,216,''
45.15.168.45,196,''
45.15.168.45,194,''
45.15.168.45,208,''
45.15.168.45,223,''
45.15.168.45,184,''
45.15.168.45,212,''
45.15.168.45,202,''
45.15.168.45,219,''
45.15.168.45,195,''
45.15.168.45,222,''
45.15.168.45,234,''
45.15.168.45,205,''
45.15.168.45,193,''
45.15.168.45,239,''
45.15.168.45,211,''
45.15.168.45,218,''
45.15.168.45,246,''
45.15.168.45,220,''
45.15.168.45,214,''
45.15.168.45,253,''
45.15.168.45,207,''
45.15.168.45,242,''
45.15.168.45,213,''
45.15.168.45,228,''
45.15.168.45,229,''
45.15.168.45,215,''
45.15.168.45,251,''
45.15.168.45,254,''
45.15.168.45,231,''
45.15.168.45,224,''
45.15.168.45,281,''
45.15.168.45,233,''
45.15.168.45,273,''
45.15.168.45,247,''
45.15.168.45,274,''
45.15.168.45,258,''
45.15.168.45,259,''
45.15.168.45,236,''
45.15.168.45,261,''
45.15.168.45,221,''
45.15.168.45,265,''
45.15.168.45,238,''
45.15.168.45,250,''
45.15.168.45,282,''
45.15.168.45,252,''
45.15.168.45,270,''
45.15.168.45,296,''
45.15.168.45,210,''
45.15.168.45,227,''
45.15.168.45,260,''
45.15.168.45,280,''
45.15.168.45,283,''
45.15.168.45,286,''
45.15.168.45,241,''
45.15.168.45,287,''
45.15.168.45,269,''
45.15.168.45,243,''
45.15.168.45,288,''
45.15.168.45,256,''
45.15.168.45,225,''
45.15.168.45,245,''
45.15.168.45,257,''
45.15.168.45,226,''
45.15.168.45,295,''
45.15.168.45,276,''
45.15.168.45,278,''
45.15.168.45,249,''
45.15.168.45,262,''
45.15.168.45,301,''
45.15.168.45,264,''
45.15.168.45,230,''
45.15.168.45,328,''
45.15.168.45,268,''
45.15.168.45,279,''
45.15.168.45,272,''
45.15.168.45,314,''
45.15.168.45,235,''
45.15.168.45,299,''
45.15.168.45,263,''
45.15.168.45,303,''
45.15.168.45,355,''
45.15.168.45,307,''
45.15.168.45,285,''
45.15.168.45,255,''
45.15.168.45,363,''
45.15.168.45,267,''
45.15.168.45,300,''
