ip,port,server
45.15.168.45,335,''
45.15.168.45,311,''
45.15.168.45,367,''
45.15.168.45,291,''
45.15.168.45,310,''
45.15.168.45,339,''
45.15.168.45,376,''
45.15.168.45,317,''
45.15.168.45,319,''
45.15.168.45,320,''
45.15.168.45,248,''
45.15.168.45,383,''
45.15.168.45,323,''
45.15.168.45,277,''
45.15.168.45,237,''
45.15.168.45,350,''
45.15.168.45,351,''
45.15.168.45,352,''
45.15.168.45,284,''
45.15.168.45,305,''
45.15.168.45,306,''
45.15.168.45,308,''
45.15.168.45,240,''
45.15.168.45,309,''
45.15.168.45,266,''
45.15.168.45,359,''
45.15.168.45,403,''
45.15.168.45,333,''
45.15.168.45,404,''
45.15.168.45,364,''
45.15.168.45,289,''
45.15.168.45,313,''
45.15.168.45,410,''
45.15.168.45,271,''
45.15.168.45,368,''
45.15.168.45,337,''
45.15.168.45,371,''
45.15.168.45,292,''
45.15.168.45,275,''
45.15.168.45,321,''
45.15.168.45,385,''
45.15.168.45,349,''
45.15.168.45,389,''
45.15.168.45,391,''
45.15.168.45,325,''
45.15.168.45,324,''
45.15.168.45,438,''
45.15.168.45,398,''
45.15.168.45,451,''
45.15.168.45,334,''
45.15.168.45,365,''
45.15.168.45,312,''
45.15.168.45,412,''
45.15.168.45,369,''
45.15.168.45,416,''
45.15.168.45,374,''
45.15.168.45,421,''
45.15.168.45,342,''
45.15.168.45,378,''
45.15.168.45,424,''
45.15.168.45,297,''
45.15.168.45,298,''
45.15.168.45,380,''
45.15.168.45,348,''
45.15.168.45,428,''
45.15.168.45,347,''
45.15.168.45,432,''
45.15.168.45,436,''
45.15.168.45,392,''
45.15.168.45,393,''
45.15.168.45,302,''
45.15.168.45,440,''
45.15.168.45,353,''
45.15.168.45,498,''
45.15.168.45,499,''
45.15.168.45,354,''
45.15.168.45,502,''
45.15.168.45,397,''
45.15.168.45,504,''
45.15.168.45,450,''
45.15.168.45,399,''
45.15.168.45,506,''
45.15.168.45,331,''
45.15.168.45,358,''
45.15.168.45,362,''
45.15.168.45,508,''
45.15.168.45,509,''
45.15.168.45,366,''
45.15.168.45,461,''
45.15.168.45,336,''
45.15.168.45,463,''
45.15.168.45,464,''
45.15.168.45,373,''
45.15.168.45,467,''
45.15.168.45,418,''
45.15.168.45,419,''
45.15.168.45,469,''
45.15.168.45,473,''
45.15.168.45,381,''
45.15.168.45,476,''
45.15.168.45,539,''
45.15.168.45,480,''
45.15.168.45,429,''
45.15.168.45,544,''
45.15.168.45,484,''
45.15.168.45,346,''
45.15.168.45,488,''
45.15.168.45,433,''
45.15.168.45,555,''
45.15.168.45,388,''
45.15.168.45,426,''
45.15.168.45,491,''
45.15.168.45,326,''
45.15.168.45,492,''
45.15.168.45,493,''
45.15.168.45,304,''
45.15.168.45,443,''
45.15.168.45,570,''
45.15.168.45,396,''
45.15.168.45,394,''
45.15.168.45,329,''
45.15.168.45,447,''
45.15.168.45,503,''
45.15.168.45,330,''
45.15.168.45,361,''
45.15.168.45,232,''
45.15.168.45,583,''
45.15.168.45,402,''
45.15.168.45,401,''
45.15.168.45,585,''
45.15.168.45,455,''
45.15.168.45,457,''
45.15.168.45,513,''
45.15.168.45,515,''
45.15.168.45,462,''
45.15.168.45,521,''
45.15.168.45,370,''
45.15.168.45,465,''
45.15.168.45,466,''
45.15.168.45,607,''
45.15.168.45,529,''
45.15.168.45,470,''
45.15.168.45,472,''
45.15.168.45,422,''
45.15.168.45,377,''
45.15.168.45,535,''
45.15.168.45,474,''
45.15.168.45,475,''
45.15.168.45,382,''
45.15.168.45,344,''
45.15.168.45,477,''
45.15.168.45,343,''
45.15.168.45,479,''
45.15.168.45,315,''
45.15.168.45,338,''
45.15.168.45,322,''
45.15.168.45,547,''
45.15.168.45,431,''
45.15.168.45,487,''
45.15.168.45,557,''
45.15.168.45,318,''
45.15.168.45,641,''
45.15.168.45,642,''
45.15.168.45,644,''
45.15.168.45,560,''
45.15.168.45,495,''
45.15.168.45,439,''
45.15.168.45,649,''
45.15.168.45,496,''
45.15.168.45,654,''
45.15.168.45,357,''
45.15.168.45,445,''
45.15.168.45,500,''
45.15.168.45,669,''
45.15.168.45,452,''
45.15.168.45,456,''
45.15.168.45,405,''
45.15.168.45,592,''
45.15.168.45,594,''
45.15.168.45,600,''
45.15.168.45,605,''
45.15.168.45,417,''
45.15.168.45,531,''
45.15.168.45,612,''
45.15.168.45,423,''
45.15.168.45,542,''
45.15.168.45,702,''
45.15.168.45,711,''
45.15.168.45,427,''
45.15.168.45,543,''
45.15.168.45,548,''
45.15.168.45,386,''
45.15.168.45,630,''
45.15.168.45,633,''
45.15.168.45,632,''
45.15.168.45,552,''
45.15.168.45,554,''
45.15.168.45,636,''
45.15.168.45,638,''
45.15.168.45,556,''
45.15.168.45,639,''
45.15.168.45,490,''
45.15.168.45,559,''
45.15.168.45,646,''
45.15.168.45,561,''
45.15.168.45,567,''
45.15.168.45,568,''
45.15.168.45,742,''
45.15.168.45,571,''
45.15.168.45,658,''
45.15.168.45,576,''
45.15.168.45,575,''
45.15.168.45,294,''
45.15.168.45,578,''
45.15.168.45,449,''
45.15.168.45,665,''
45.15.168.45,668,''
45.15.168.45,332,''
45.15.168.45,587,''
45.15.168.45,586,''
45.15.168.45,512,''
45.15.168.45,589,''
45.15.168.45,763,''
45.15.168.45,458,''
45.15.168.45,593,''
45.15.168.45,518,''
45.15.168.45,596,''
45.15.168.45,520,''
45.15.168.45,684,''
45.15.168.45,777,''
45.15.168.45,686,''
45.15.168.45,522,''
45.15.168.45,523,''
45.15.168.45,524,''
45.15.168.45,781,''
45.15.168.45,606,''
45.15.168.45,468,''
45.15.168.45,608,''
45.15.168.45,683,''
45.15.168.45,610,''
45.15.168.45,420,''
45.15.168.45,532,''
45.15.168.45,614,''
45.15.168.45,534,''
45.15.168.45,379,''
45.15.168.45,459,''
45.15.168.45,699,''
45.15.168.45,701,''
45.15.168.45,538,''
45.15.168.45,621,''
45.15.168.45,541,''
45.15.168.45,540,''
45.15.168.45,624,''
45.15.168.45,622,''
45.15.168.45,804,''
45.15.168.45,708,''
45.15.168.45,806,''
45.15.168.45,546,''
45.15.168.45,482,''
45.15.168.45,345,''
45.15.168.45,629,''
45.15.168.45,430,''
45.15.168.45,709,''
45.15.168.45,818,''
45.15.168.45,721,''
45.15.168.45,635,''
45.15.168.45,722,''
45.15.168.45,825,''
45.15.168.45,643,''
45.15.168.45,489,''
45.15.168.45,832,''
45.15.168.45,835,''
45.15.168.45,563,''
45.15.168.45,549,''
45.15.168.45,647,''
45.15.168.45,441,''
45.15.168.45,734,''
45.15.168.45,736,''
45.15.168.45,442,''
45.15.168.45,737,''
45.15.168.45,652,''
45.15.168.45,741,''
45.15.168.45,395,''
45.15.168.45,327,''
45.15.168.45,501,''
45.15.168.45,656,''
45.15.168.45,748,''
45.15.168.45,581,''
45.15.168.45,582,''
45.15.168.45,580,''
45.15.168.45,751,''
45.15.168.45,662,''
45.15.168.45,400,''
45.15.168.45,757,''
45.15.168.45,872,''
45.15.168.45,875,''
45.15.168.45,761,''
45.15.168.45,676,''
45.15.168.45,406,''
45.15.168.45,290,''
45.15.168.45,460,''
45.15.168.45,516,''
45.15.168.45,411,''
45.15.168.45,770,''
45.15.168.45,519,''
45.15.168.45,597,''
45.15.168.45,772,''
45.15.168.45,598,''
45.15.168.45,601,''
45.15.168.45,897,''
45.15.168.45,899,''
45.15.168.45,900,''
45.15.168.45,688,''
45.15.168.45,689,''
45.15.168.45,785,''
45.15.168.45,786,''
45.15.168.45,788,''
45.15.168.45,609,''
45.15.168.45,375,''
45.15.168.45,790,''
45.15.168.45,695,''
45.15.168.45,528,''
45.15.168.45,696,''
45.15.168.45,916,''
45.15.168.45,536,''
45.15.168.45,617,''
45.15.168.45,705,''
45.15.168.45,928,''
45.15.168.45,425,''
45.15.168.45,478,''
45.15.168.45,931,''
45.15.168.45,481,''
45.15.168.45,625,''
45.15.168.45,811,''
45.15.168.45,714,''
45.15.168.45,812,''
45.15.168.45,941,''
45.15.168.45,483,''
45.15.168.45,814,''
45.15.168.45,550,''
45.15.168.45,631,''
45.15.168.45,485,''
45.15.168.45,486,''
45.15.168.45,551,''
45.15.168.45,819,''
45.15.168.45,828,''
45.15.168.45,827,''
45.15.168.45,728,''
45.15.168.45,558,''
45.15.168.45,969,''
45.15.168.45,733,''
45.15.168.45,562,''
45.15.168.45,838,''
45.15.168.45,566,''
45.15.168.45,497,''
45.15.168.45,846,''
45.15.168.45,356,''
45.15.168.45,850,''
45.15.168.45,839,''
45.15.168.45,573,''
45.15.168.45,657,''
45.15.168.45,745,''
45.15.168.45,860,''
45.15.168.45,659,''
45.15.168.45,660,''
45.15.168.45,579,''
45.15.168.45,752,''
45.15.168.45,865,''
45.15.168.45,667,''
45.15.168.45,756,''
45.15.168.45,584,''
45.15.168.45,1186,''
45.15.168.45,873,''
45.15.168.45,511,''
45.15.168.45,677,''
45.15.168.45,590,''
45.15.168.45,764,''
45.15.168.45,678,''
45.15.168.45,408,''
45.15.168.45,1029,''
45.15.168.45,766,''
45.15.168.45,679,''
45.15.168.45,886,''
45.15.168.45,595,''
45.15.168.45,887,''
45.15.168.45,769,''
45.15.168.45,409,''
45.15.168.45,773,''
45.15.168.45,892,''
45.15.168.45,774,''
45.15.168.45,602,''
45.15.168.45,414,''
45.15.168.45,685,''
45.15.168.45,901,''
45.15.168.45,340,''
45.15.168.45,782,''
45.15.168.45,902,''
45.15.168.45,526,''
45.15.168.45,1054,''
45.15.168.45,527,''
45.15.168.45,691,''
45.15.168.45,341,''
45.15.168.45,913,''
45.15.168.45,792,''
45.15.168.45,613,''
45.15.168.45,1072,''
45.15.168.45,533,''
45.15.168.45,793,''
45.15.168.45,698,''
45.15.168.45,1075,''
45.15.168.45,908,''
45.15.168.45,1079,''
45.15.168.45,1081,''
45.15.168.45,797,''
45.15.168.45,925,''
45.15.168.45,1087,''
45.15.168.45,704,''
45.15.168.45,801,''
45.15.168.45,929,''
45.15.168.45,1095,''
45.15.168.45,710,''
45.15.168.45,937,''
45.15.168.45,1097,''
45.15.168.45,810,''
45.15.168.45,716,''
45.15.168.45,946,''
45.15.168.45,815,''
45.15.168.45,949,''
45.15.168.45,817,''
45.15.168.45,1115,''
45.15.168.45,1117,''
45.15.168.45,822,''
45.15.168.45,823,''
45.15.168.45,724,''
45.15.168.45,390,''
45.15.168.45,637,''
45.15.168.45,1126,''
45.15.168.45,961,''
45.15.168.45,966,''
45.15.168.45,830,''
45.15.168.45,829,''
45.15.168.45,1133,''
45.15.168.45,833,''
45.15.168.45,970,''
45.15.168.45,494,''
45.15.168.45,1140,''
45.15.168.45,837,''
45.15.168.45,564,''
45.15.168.45,735,''
45.15.168.45,977,''
45.15.168.45,979,''
45.15.168.45,831,''
45.15.168.45,569,''
45.15.168.45,849,''
45.15.168.45,848,''
45.15.168.45,444,''
45.15.168.45,1156,''
45.15.168.45,1158,''
45.15.168.45,851,''
45.15.168.45,989,''
45.15.168.45,572,''
45.15.168.45,853,''
45.15.168.45,1149,''
45.15.168.45,574,''
45.15.168.45,993,''
45.15.168.45,856,''
45.15.168.45,994,''
45.15.168.45,577,''
45.15.168.45,996,''
45.15.168.45,1169,''
45.15.168.45,749,''
45.15.168.45,864,''
45.15.168.45,663,''
45.15.168.45,664,''
45.15.168.45,505,''
45.15.168.45,755,''
45.15.168.45,1183,''
45.15.168.45,871,''
45.15.168.45,1012,''
45.15.168.45,874,''
45.15.168.45,1017,''
45.15.168.45,1016,''
45.15.168.45,510,''
45.15.168.45,454,''
45.15.168.45,878,''
45.15.168.45,1019,''
45.15.168.45,591,''
45.15.168.45,883,''
45.15.168.45,1201,''
45.15.168.45,1027,''
45.15.168.45,1028,''
45.15.168.45,767,''
45.15.168.45,517,''
45.15.168.45,1204,''
45.15.168.45,1207,''
45.15.168.45,888,''
45.15.168.45,1211,''
45.15.168.45,680,''
45.15.168.45,890,''
45.15.168.45,1034,''
45.15.168.45,1035,''
45.15.168.45,893,''
45.15.168.45,894,''
45.15.168.45,1038,''
45.15.168.45,895,''
45.15.168.45,779,''
45.15.168.45,603,''
45.15.168.45,903,''
45.15.168.45,525,''

45.15.168.45,1237,''
45.15.168.45,1055,''
45.15.168.45,904,''
45.15.168.45,898,''
45.15.168.45,692,''
45.15.168.45,1062,''
45.15.168.45,1245,''
45.15.168.45,910,''
45.15.168.45,471,''
45.15.168.45,914,''
45.15.168.45,1252,''
45.15.168.45,611,''
45.15.168.45,1068,''
45.15.168.45,697,''
45.15.168.45,920,''
45.15.168.45,1076,''
45.15.168.45,794,''
45.15.168.45,1077,''
45.15.168.45,921,''
45.15.168.45,796,''
45.15.168.45,1078,''
45.15.168.45,1084,''
45.15.168.45,1085,''
45.15.168.45,926,''
45.15.168.45,1496,''
45.15.168.45,802,''
45.15.168.45,932,''
45.15.168.45,805,''
45.15.168.45,934,''
45.15.168.45,626,''
45.15.168.45,545,''
45.15.168.45,1286,''
45.15.168.45,1287,''
45.15.168.45,939,''
45.15.168.45,628,''
45.15.168.45,1102,''
45.15.168.45,1292,''
45.15.168.45,948,''

45.15.168.45,719,''
45.15.168.45,435,''
45.15.168.45,1123,''
45.15.168.45,958,''
45.15.168.45,826,''
45.15.168.45,727,''
45.15.168.45,964,''
45.15.168.45,645,''
45.15.168.45,968,''
45.15.168.45,1331,''
45.15.168.45,1334,''
45.15.168.45,974,''
45.15.168.45,962,''
45.15.168.45,841,''
45.15.168.45,842,''
45.15.168.45,843,''
45.15.168.45,844,''
45.15.168.45,740,''
45.15.168.45,651,''
45.15.168.45,981,''
45.15.168.45,1151,''
45.15.168.45,1154,''
45.15.168.45,984,''
45.15.168.45,986,''
45.15.168.45,852,''
45.15.168.45,655,''
45.15.168.45,1160,''
45.15.168.45,1164,''
45.15.168.45,857,''
45.15.168.45,858,''
45.15.168.45,1000,''
45.15.168.45,1001,''
45.15.168.45,1377,''
45.15.168.45,1618,''
45.15.168.45,1005,''
45.15.168.45,1007,''
45.15.168.45,1179,''
45.15.168.45,1008,''
45.15.168.45,507,''
45.15.168.45,869,''
45.15.168.45,1185,''
45.15.168.45,1391,''
45.15.168.45,673,''
45.15.168.45,1018,''
45.15.168.45,1020,''
45.15.168.45,675,''
45.15.168.45,1197,''
45.15.168.45,1023,''
45.15.168.45,1200,''
45.15.168.45,1026,''
45.15.168.45,1415,''
45.15.168.45,1205,''
45.15.168.45,1030,''
45.15.168.45,514,''
45.15.168.45,891,''
45.15.168.45,1213,''
45.15.168.45,771,''
45.15.168.45,674,''
45.15.168.45,1215,''
45.15.168.45,1036,''
45.15.168.45,1037,''
45.15.168.45,1216,''
45.15.168.45,413,''
45.15.168.45,1042,''
45.15.168.45,1224,''
45.15.168.45,776,''
45.15.168.45,1226,''
45.15.168.45,778,''
45.15.168.45,1045,''
45.15.168.45,372,''
45.15.168.45,780,''
45.15.168.45,1048,''
45.15.168.45,1232,''
45.15.168.45,1236,''
45.15.168.45,784,''
45.15.168.45,906,''
45.15.168.45,1242,''
45.15.168.45,1058,''
45.15.168.45,1456,''
45.15.168.45,1057,''
45.15.168.45,787,''
45.15.168.45,1447,''
45.15.168.45,1244,''
45.15.168.45,789,''
45.15.168.45,1248,''
45.15.168.45,1063,''
45.15.168.45,915,''

45.15.168.45,1066,''
45.15.168.45,1067,''
45.15.168.45,615,''
45.15.168.45,1470,''
45.15.168.45,1256,''
45.15.168.45,700,''
45.15.168.45,537,''
45.15.168.45,1258,''
45.15.168.45,1259,''
45.15.168.45,616,''
45.15.168.45,1262,''
45.15.168.45,923,''
45.15.168.45,924,''
45.15.168.45,798,''
45.15.168.45,620,''
45.15.168.45,800,''
45.15.168.45,1494,''
45.15.168.45,707,''
45.15.168.45,930,''
45.15.168.45,1092,''
45.15.168.45,1275,''
45.15.168.45,1276,''
45.15.168.45,627,''
45.15.168.45,809,''
45.15.168.45,1284,''
45.15.168.45,1099,''
45.15.168.45,1514,''
45.15.168.45,1290,''
45.15.168.45,1103,''
45.15.168.45,945,''
45.15.168.45,1519,''
45.15.168.45,1106,''
45.15.168.45,718,''
45.15.168.45,1526,''
45.15.168.45,936,''
45.15.168.45,1779,''
45.15.168.45,1113,''
45.15.168.45,1114,''
45.15.168.45,1301,''
45.15.168.45,952,''
45.15.168.45,634,''
45.15.168.45,820,''
45.15.168.45,953,''
45.15.168.45,1119,''
45.15.168.45,1535,''
45.15.168.45,723,''
45.15.168.45,1120,''
45.15.168.45,821,''
45.15.168.45,1308,''
45.15.168.45,824,''
45.15.168.45,956,''
45.15.168.45,1312,''
45.15.168.45,1313,''
45.15.168.45,1545,''
45.15.168.45,726,''
45.15.168.45,1548,''
45.15.168.45,1321,''
45.15.168.45,730,''
45.15.168.45,1131,''
45.15.168.45,834,''
45.15.168.45,731,''
45.15.168.45,971,''
45.15.168.45,1138,''
45.15.168.45,1142,''
45.15.168.45,648,''
45.15.168.45,1144,''
45.15.168.45,978,''
45.15.168.45,1342,''
45.15.168.45,1146,''
45.15.168.45,1344,''
45.15.168.45,1345,''
45.15.168.45,1150,''
45.15.168.45,1347,''
45.15.168.45,1348,''
45.15.168.45,1152,''
45.15.168.45,653,''
45.15.168.45,1352,''
45.15.168.45,987,''
45.15.168.45,988,''
45.15.168.45,1588,''
45.15.168.45,744,''
45.15.168.45,990,''
45.15.168.45,1356,''
45.15.168.45,854,''
45.15.168.45,1358,''
45.15.168.45,1586,''
45.15.168.45,1165,''
45.15.168.45,1364,''
45.15.168.45,1167,''
45.15.168.45,861,''
45.15.168.45,1369,''
45.15.168.45,999,''
45.15.168.45,1372,''
45.15.168.45,1002,''
45.15.168.45,1003,''
45.15.168.45,1614,''
45.15.168.45,1383,''
45.15.168.45,1385,''
45.15.168.45,1181,''
45.15.168.45,1010,''
45.15.168.45,670,''
45.15.168.45,1390,''
45.15.168.45,671,''
45.15.168.45,1395,''
45.15.168.45,672,''
45.15.168.45,1396,''
45.15.168.45,1014,''
45.15.168.45,759,''
45.15.168.45,877,''
45.15.168.45,1191,''
45.15.168.45,1401,''
45.15.168.45,880,''
45.15.168.45,1403,''
45.15.168.45,762,''
45.15.168.45,1194,''
45.15.168.45,1406,''
45.15.168.45,1021,''
45.15.168.45,765,''
45.15.168.45,882,''
45.15.168.45,1411,''
45.15.168.45,1412,''
45.15.168.45,885,''
45.15.168.45,1203,''
45.15.168.45,1653,''
45.15.168.45,1210,''
45.15.168.45,1419,''
45.15.168.45,1212,''
45.15.168.45,1422,''
45.15.168.45,1424,''
45.15.168.45,599,''
45.15.168.45,1217,''
45.15.168.45,1041,''
45.15.168.45,896,''
45.15.168.45,1220,''
45.15.168.45,1221,''
45.15.168.45,1222,''
45.15.168.45,682,''
45.15.168.45,1225,''
45.15.168.45,1434,''
45.15.168.45,1043,''
45.15.168.45,1439,''
45.15.168.45,1228,''
45.15.168.45,687,''
45.15.168.45,1440,''
45.15.168.45,1046,''
45.15.168.45,1047,''
45.15.168.45,1441,''
45.15.168.45,604,''
45.15.168.45,1443,''
45.15.168.45,1050,''
45.15.168.45,1693,''
45.15.168.45,1053,''
45.15.168.45,1056,''
45.15.168.45,1239,''
45.15.168.45,1241,''
45.15.168.45,1060,''
45.15.168.45,1460,''
45.15.168.45,1246,''
45.15.168.45,911,''
45.15.168.45,912,''
45.15.168.45,1250,''
45.15.168.45,530,''
45.15.168.45,1253,''
45.15.168.45,917,''
45.15.168.45,1073,''
45.15.168.45,919,''
45.15.168.45,1720,''
45.15.168.45,1473,''
45.15.168.45,1061,''
45.15.168.45,1261,''
45.15.168.45,922,''
45.15.168.45,1727,''
45.15.168.45,1264,''
45.15.168.45,1485,''
45.15.168.45,1486,''
45.15.168.45,1474,''
45.15.168.45,1082,''
45.15.168.45,795,''
45.15.168.45,1489,''
45.15.168.45,1738,''
45.15.168.45,706,''
45.15.168.45,1497,''
45.15.168.45,1743,''
45.15.168.45,1091,''
45.15.168.45,1274,''
45.15.168.45,1503,''
45.15.168.45,933,''
45.15.168.45,1748,''
45.15.168.45,1278,''
45.15.168.45,1751,''
45.15.168.45,1753,''
45.15.168.45,808,''
45.15.168.45,1283,''
45.15.168.45,712,''
45.15.168.45,1515,''
45.15.168.45,1101,''
45.15.168.45,943,''
45.15.168.45,1765,''
45.15.168.45,1291,''
45.15.168.45,717,''
45.15.168.45,1523,''
45.15.168.45,1773,''
45.15.168.45,1525,''
45.15.168.45,947,''
45.15.168.45,1108,''
45.15.168.45,1111,''
45.15.168.45,1110,''
45.15.168.45,1777,''
45.15.168.45,816,''
45.15.168.45,1289,''
45.15.168.45,1112,''
45.15.168.45,1300,''
45.15.168.45,1781,''
45.15.168.45,1302,''
45.15.168.45,553,''
45.15.168.45,1537,''
45.15.168.45,1121,''
45.15.168.45,1538,''
45.15.168.45,954,''
45.15.168.45,1542,''
45.15.168.45,1125,''
45.15.168.45,1124,''
45.15.168.45,957,''
45.15.168.45,960,''

45.15.168.45,1128,''
45.15.168.45,729,''
45.15.168.45,1551,''
45.15.168.45,1552,''
45.15.168.45,1556,''
45.15.168.45,732,''
45.15.168.45,1558,''
45.15.168.45,1549,''
45.15.168.45,1561,''
45.15.168.45,1141,''
45.15.168.45,1333,''
45.15.168.45,1335,''
45.15.168.45,1143,''
