ip,port,server
192.168.11.36,80,''
192.168.11.61,80,''
192.168.11.87,80,''
192.168.11.2,80,''
192.168.11.19,135,''
192.168.11.87,135,''
192.168.11.61,135,''
192.168.11.30,135,''
192.168.11.19,139,''
192.168.11.61,139,''
192.168.11.87,139,''
192.168.11.30,139,''
192.168.11.36,135,''
192.168.11.96,135,''
192.168.11.96,139,''
192.168.11.94,135,''
192.168.11.36,139,''
192.168.11.104,135,''
192.168.11.69,135,''
192.168.11.82,135,''
192.168.11.94,139,''
192.168.11.126,135,''
192.168.11.102,135,''
192.168.11.126,139,''
192.168.11.86,135,''
192.168.11.80,135,''
192.168.11.82,139,''

192.168.11.100,135,''
192.168.11.69,139,''

192.168.11.104,139,''
192.168.11.121,135,''
192.168.11.68,135,''
192.168.11.17,135,''
192.168.11.17,139,''
192.168.11.121,139,''
192.168.11.20,135,''
192.168.11.68,139,''
192.168.11.20,139,''
192.168.11.106,135,''
192.168.11.106,139,''
192.168.11.200,139,''
192.168.11.200,135,''
192.168.11.126,445,''
192.168.11.82,445,''
192.168.11.61,445,''
192.168.11.102,445,''
192.168.11.87,445,''
192.168.11.19,445,''
192.168.11.94,445,''
192.168.11.121,445,''
192.168.11.69,445,''
192.168.11.100,445,''
192.168.11.80,443,''
192.168.11.86,445,''
192.168.11.96,445,''
192.168.11.87,554,''
192.168.11.104,445,''
192.168.11.200,445,''
192.168.11.36,445,''
192.168.11.30,445,''
192.168.11.20,445,''
192.168.11.68,445,''
192.168.11.17,445,''
192.168.11.106,443,''
192.168.11.106,445,''
192.168.11.82,902,''
192.168.11.102,902,''
192.168.11.82,912,''
192.168.11.102,912,''
192.168.11.87,808,''
192.168.11.80,903,''
192.168.11.94,912,''
192.168.11.80,913,''
192.168.11.94,902,''
192.168.11.87,912,''
192.168.11.121,912,''
192.168.11.19,902,''
192.168.11.87,902,''
192.168.11.19,912,''
192.168.11.121,902,''
192.168.11.86,902,''
192.168.11.86,912,''
192.168.11.96,903,''
192.168.11.96,913,''
192.168.11.200,912,''
192.168.11.200,902,''
192.168.11.82,1498,''
192.168.11.87,1234,''
192.168.11.104,1042,''
192.168.11.104,1043,''
192.168.11.20,903,''
192.168.11.30,912,''
192.168.11.30,902,''
192.168.11.20,913,''
192.168.11.17,902,''
192.168.11.106,903,''
192.168.11.17,912,''
192.168.11.106,913,''
192.168.11.17,1042,''
192.168.11.17,1043,''
192.168.11.102,3306,''
192.168.11.87,2869,''
192.168.11.126,7680,''
192.168.11.126,7890,''
192.168.11.87,3389,''
192.168.11.121,3443,''
192.168.11.82,5040,''
192.168.11.102,5040,''
192.168.11.126,10001,''
192.168.11.82,5357,''
192.168.11.102,5357,''
192.168.11.86,3443,''
192.168.11.19,4369,''
192.168.11.87,5040,''
192.168.11.17,2869,''
192.168.11.94,5040,''
192.168.11.121,5040,''
192.168.11.19,5040,''
192.168.11.87,5357,''
192.168.11.69,5357,''
192.168.11.94,5357,''
192.168.11.121,5357,''
192.168.11.80,5357,''
192.168.11.19,5357,''
192.168.11.17,3306,''
192.168.11.106,3389,''
192.168.11.30,3389,''
192.168.11.61,7680,''
192.168.11.61,8000,''
192.168.11.86,5040,''
192.168.11.96,5040,''
192.168.11.200,5040,''
192.168.11.61,8443,''
192.168.11.86,5357,''
192.168.11.200,5357,''
192.168.11.104,5357,''
192.168.11.104,5646,''
192.168.11.61,9128,''
192.168.11.61,9200,''
192.168.11.87,7680,''
192.168.11.76,7680,''
192.168.11.19,7680,''
192.168.11.100,7680,''
192.168.11.87,8090,''
192.168.11.20,5040,''
192.168.11.106,5040,''
192.168.11.17,5040,''
192.168.11.30,5040,''
192.168.11.20,5357,''
192.168.11.17,5357,''
192.168.11.30,5357,''
192.168.11.17,5426,''
192.168.11.86,7680,''
192.168.11.104,7680,''
192.168.11.200,7680,''
192.168.11.87,10002,''
192.168.11.87,10001,''
192.168.11.80,10001,''
192.168.11.87,10243,''
192.168.11.86,8834,''
192.168.11.87,11065,''
192.168.11.96,9003,''
192.168.11.104,9012,''
192.168.11.104,9013,''
192.168.11.86,9309,''
192.168.11.17,7680,''
192.168.11.30,7680,''
192.168.11.17,7880,''
192.168.11.86,11200,''
192.168.11.61,18000,''
192.168.11.17,8088,''
192.168.11.106,8834,''
192.168.11.106,9128,''
192.168.11.17,9012,''
192.168.11.17,9013,''
192.168.11.1,10088,''
192.168.11.96,14345,''
192.168.11.82,23443,''
192.168.11.30,11123,''
192.168.11.126,49668,''
192.168.11.86,16422,''
192.168.11.82,26462,''
192.168.11.19,22113,''
192.168.11.69,23443,''
192.168.11.87,23443,''
192.168.11.100,23443,''
192.168.11.87,27036,''
192.168.11.87,28392,''
192.168.11.86,23443,''
192.168.11.104,23443,''
192.168.11.17,19531,''
192.168.11.82,49667,''
192.168.11.82,49669,''
192.168.11.82,49679,''
192.168.11.61,49672,''
192.168.11.102,49674,''
192.168.11.17,23443,''
192.168.11.36,23443,''
192.168.11.61,53399,''
192.168.11.102,56342,''
192.168.11.106,28098,''
192.168.11.17,28831,''
192.168.11.69,49668,''
192.168.11.94,49669,''
192.168.11.87,49665,''
