ip,port,server
192.168.11.87,49668,''
192.168.11.87,49666,''
192.168.11.87,49664,''
192.168.11.87,49667,''
192.168.11.87,49675,''
192.168.11.87,49689,''
192.168.11.121,49664,''
192.168.11.121,49665,''
192.168.11.121,49667,''
192.168.11.121,49666,''
192.168.11.121,49670,''
192.168.11.121,49723,''
192.168.11.121,49722,''
192.168.11.80,49668,''
192.168.11.100,49668,''
192.168.11.69,52953,''
192.168.11.19,53954,''
192.168.11.121,56140,''
192.168.11.76,59132,''
192.168.11.96,49664,''
192.168.11.96,49667,''
192.168.11.96,49666,''
192.168.11.96,49665,''
192.168.11.96,49669,''
192.168.11.96,49678,''
192.168.11.96,49681,''
192.168.11.86,49665,''
192.168.11.86,49668,''
192.168.11.86,49667,''
192.168.11.86,49666,''
192.168.11.86,49664,''
192.168.11.86,49692,''
192.168.11.200,49668,''
192.168.11.104,49672,''
192.168.11.86,50120,''
192.168.11.104,49682,''
192.168.11.104,49683,''
192.168.11.94,63627,''
192.168.11.100,62610,''
192.168.11.17,39171,''
192.168.11.17,39172,''
192.168.11.86,59108,''
192.168.11.20,49664,''
192.168.11.20,49666,''
192.168.11.20,49665,''
192.168.11.20,49667,''
192.168.11.20,49668,''
192.168.11.20,49670,''
192.168.11.20,49674,''
192.168.11.20,49698,''
192.168.11.106,49664,''
192.168.11.106,49672,''
192.168.11.17,49664,''
192.168.11.106,49666,''
192.168.11.17,49666,''
192.168.11.106,49665,''
192.168.11.17,49665,''
192.168.11.106,49667,''
192.168.11.17,49667,''
192.168.11.17,49777,''
192.168.11.106,49668,''
192.168.11.106,49671,''
192.168.11.17,49702,''
192.168.11.36,49668,''
192.168.11.30,49664,''
192.168.11.30,49665,''
192.168.11.30,49667,''
192.168.11.30,49668,''
192.168.11.68,49668,''
192.168.11.30,49674,''
192.168.11.30,49695,''
192.168.11.30,49733,''
192.168.11.30,49666,''
192.168.11.30,50456,''
192.168.11.17,52083,''
192.168.11.17,54236,''
192.168.11.17,54235,''
